id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
75721,ford,Ford Kuga,black,05/2023,2023,38490,140,190,Automatic,Hybrid,"5,4 l/100 km",124 g/km,100.0,ST-Line Hybrid Adapt.LED+Head-Up-Display Klima
80184,hyundai,Hyundai i10,black,09/2018,2018,11555,49,67,Manual,Petrol,"4,6 l/100 km",106 g/km,27782.0,"blue Trend,Viele Extras,Top-Zustand"
19864,audi,Audi Q4 e-tron,grey,05/2021,2021,48886,125,170,Automatic,Electric,,0 g/km,4247.0,35 e-tron S line/Matrix/Pano/ACC/SONOS/LM 21
76699,honda,Honda CR-V,red,07/2018,2018,24490,114,155,Automatic,Petrol,"7,5 l/100 km",175 g/km,57000.0,2.0 Lifestyle Plus Automatik Navi FAP
92991,kia,Kia Sportage,black,02/2023,2023,34990,110,150,Manual,Petrol,"5,9 l/100 km",150 g/km,7500.0,"1.6 T 48V 2WD Spirit LED, WR"
76434,honda,Honda Civic,black,09/2009,2009,5800,103,140,Manual,Petrol,"6,7 l/100 km",155 g/km,160000.0,Honda Civic 1.8i-VTEC Sport GT
84004,hyundai,Hyundai STARIA,white,01/2023,2023,56390,130,177,Automatic,Diesel,"8,9 l/100 km",232 g/km,499.0,2.2 CRDi 9-Sitzer Auto. 4WD *PANORAMA*AHK
80917,hyundai,Hyundai KONA,red,05/2019,2019,18690,88,120,Manual,Petrol,"5,4 l/100 km",125 g/km,64300.0,blue 1.2 Trend Klima Sitzheizung PDC Alu
60767,ford,Ford Fiesta,white,09/2012,2012,5300,60,82,Manual,Petrol,"5,6 l/100 km",129 g/km,105000.0,1.25 Champions Edition
50074,dacia,Dacia Sandero,grey,10/2022,2022,17900,67,91,Manual,Petrol,5 l/100 km,113 g/km,50.0,Stepway TCe 90 Comfort
27701,bmw,BMW 520,black,07/2009,2009,6800,120,163,Automatic,Diesel,"5,6 l/100 km",- (g/km),262000.0,520d Aut. Edition Fleet
42141,bmw,BMW X5,blue,07/2022,2022,87800,290,394,Automatic,Hybrid,,99 km Reichweite,21674.0,xDrive45e M Sport h&k AHK Pano Laser ACC PA
45080,citroen,Citroen Spacetourer,black,10/2018,2018,31900,130,177,Automatic,Diesel,"5,9 l/100 km",- (g/km),112000.0,Bus. Loung XL*Leder*Stdheiz*Headup Display*AHK
16638,audi,Audi A5,blue,05/2019,2019,26450,110,150,Automatic,Diesel,"4,6 l/100 km",119 g/km,133000.0,S-Line 35 TDI*Aut.*Nav*LED*Cam*Keyles
20424,audi,Audi A3,white,05/2021,2021,28888,110,150,Automatic,Hybrid,,59 km Reichweite,62819.0,Sportback 40 TFSI e S tronic S-Line*Matrix*Navi+*
88702,kia,Kia,white,11/2016,2016,17950,150,204,Manual,Petrol,"7,4 l/100 km",170 g/km,47380.0,1.6 T-GDI GT-Track Panorama Navi RFK
149,alfa-romeo,Alfa Romeo 147,red,08/2005,2005,2999,77,105,Manual,Petrol,"8,2 l/100 km",196 g/km,171000.0,1.6 16V TS ECO Impression
1761,audi,Audi A4,silver,09/1999,1999,3000,142,193,Manual,Petrol,"9,4 l/100 km",226 g/km,449000.0,Avant 2.8
63120,ford,Ford Focus,black,07/2015,2015,10000,88,120,Manual,Diesel,"3,8 l/100 km",- (g/km),155000.0,Turnier 1.5 TDCi DPF Start-Stopp-System Titanium
69161,ford,Ford EcoSport,grey,06/2019,2019,14950,74,101,Manual,Petrol,"5,3 l/100 km",120 g/km,59710.0,ECOSPORT 1.0 EcoBoost COOL&CONNECT
64883,ford,Ford Transit,white,11/2016,2016,17500,92,125,Manual,Diesel,"7,5 l/100 km",199 g/km,118000.0,L3 Einzelkabine Pritsche/Plane*Kamera*Klima*AHK
2495,audi,Audi A6,silver,10/2004,2004,2999,120,163,Automatic,Diesel,"6,9 l/100 km",- (g/km),340000.0,Avant 2.5 TDI
80296,hyundai,Hyundai IONIQ,white,04/2018,2018,19979,88,120,Automatic,Electric,,280 km Reichweite,59000.0,"IONIQ Elektro Style aus 1. Hdf. , 8 Räder, WP"
19447,audi,Audi Q5,silver,01/2020,2020,30980,120,163,Automatic,Diesel,"7,2 l/100 km",189 g/km,97200.0,35 TDI quattro Sport S-tronic Xenon PDC Klima
41331,bmw,BMW X5,blue,07/2021,2021,68990,245,333,Automatic,Petrol,"8,4 l/100 km",192 g/km,19788.0,xDrive40i M Sport 20'' H/K Pano StHzg AHK Laser SC
14888,audi,Audi A4,brown,01/2018,2018,16980,140,190,Automatic,Diesel,"4,7 l/100 km",123 g/km,175049.0,"Avant quattro Sport NAVI/LEDER/17""/AHK"
88636,kia,Kia Sportage,black,02/2016,2016,19975,130,177,Automatic,Petrol,"7,5 l/100 km",175 g/km,65270.0,GT Line 4WD 1.6 T-GDI Keyless Go Klimaautomatik Bi
94892,land-rover,Land Rover Range Rover Sport,black,01/2018,2018,45850,190,258,Automatic,Diesel,"6,9 l/100 km",183 g/km,175000.0,HSE  Kamera Pano AHK Schwarz!
92731,kia,Kia XCeed,green,03/2023,2023,32950,118,160,Automatic,Petrol,"6,1 l/100 km",139 g/km,500.0,1.5T Aut. Platinum Navi+Leder+Glasdach
29130,bmw,BMW X1,grey,10/2011,2011,13000,105,143,Automatic,Diesel,"5,9 l/100 km",155 g/km,87645.0,d/M-PAKET/KEYLESS/MASSAGE/R-CAM/ACC/HUD/3xTV
79022,hyundai,Hyundai TUCSON,white,02/2016,2016,16900,85,116,Manual,Diesel,"4,6 l/100 km",122 g/km,128000.0,Blue Classic 2WD GARANTIE Alu Allwetterreifen LED
84936,jaguar,Jaguar F-Pace,grey,11/2019,2019,43950,221,300,Automatic,Diesel,"6,3 l/100 km",166 g/km,57950.0,R-Sport AWD
16821,audi,Audi A6,brown,06/2019,2019,31970,150,204,Automatic,Diesel,"4,9 l/100 km",129 g/km,82850.0,Avant 40 TDI design AHK LED MMI Kamera GRA
36733,bmw,BMW 730,black,04/2017,2017,44900,195,265,Automatic,Diesel,"4,8 l/100 km",127 g/km,146000.0,d xDrive/ Voll Austattung/ Long/Allradlenkung
15602,audi,Audi A3,black,11/2018,2018,14880,85,116,Manual,Petrol,"4,8 l/100 km",117 g/km,115000.0,Sportback sport-Xenon-Navi-PDC-Tempomat
28533,bmw,BMW 118,black,01/2010,2010,22650,105,143,Manual,Diesel,"4,5 l/100 km",119 g/km,194999.0,118d DPF Edition Sport
69769,ford,Ford EcoSport,red,02/2019,2019,18990,92,125,Automatic,Petrol,"6,2 l/100 km",165 g/km,39987.0,1.0 EcoBoost Aut. SHZ AppConnect 1.Hand
11405,audi,Audi A5,blue,06/2016,2016,26500,169,230,Automatic,Petrol,"6,6 l/100 km",153 g/km,74688.0,2.0 TFSI Sportback quattro S tronic
