book_id,books_count,authors,original_publication_year,title,average_rating,ratings_count
1,272,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",4.34,4780653
2,491,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479
3,226,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",3.57,3866839
6,226,John Green,2012.0,The Fault in Our Stars,4.26,2346404
12,210,Veronica Roth,2011.0,"Divergent (Divergent, #1)",4.24,1903563
17,201,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",4.3,1831039
18,376,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823
20,239,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,1719760
21,307,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368
23,398,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331
24,332,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043
25,263,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574
27,275,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823
37,474,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800
41,159,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265
47,251,Markus Zusak,2005.0,The Book Thief,4.36,1159741
49,194,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630
51,178,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,1154031
52,185,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,1134511
53,217,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,1104021
62,287,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,953970
68,128,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806
69,164,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,836362
70,224,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,813439
73,161,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,749780
74,187,John Green,2005.0,Looking for Alaska,4.09,783470
77,138,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,747445
88,178,John Green,2008.0,Paper Towns,3.88,461311
90,156,S.E. Hinton,1967.0,The Outsiders,4.06,659248
91,147,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,719925
105,153,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,463257
117,165,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907
120,93,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706
133,1314,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247
134,122,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,593173
139,155,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674
147,150,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783
149,130,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,503527
151,121,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932
153,125,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,541117
159,92,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214
164,103,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312
166,84,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,511815
175,87,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500
182,119,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093
183,103,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890
187,98,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",3.86,449073
202,91,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",4.0,448166
206,93,Kiera Cass,2012.0,"The Selection (The Selection, #1)",4.15,505340
214,94,Rick Riordan,2007.0,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668
219,270,"C.S. Lewis, Pauline Baynes",1956.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385
220,20,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,4.23,291411
223,163,Eoin Colfer,2001.0,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923
224,97,Lauren Kate,2009.0,"Fallen (Fallen, #1)",3.74,395296
234,87,Laurie Halse Anderson,1999.0,Speak,4.0,360156
241,81,Lois Lowry,1989.0,Number the Stars,4.11,333638
245,125,Katherine Paterson,1977.0,Bridge to Terabithia,3.98,337644
246,97,"P.C. Cast, Kristin Cast",2007.0,"Marked (House of Night, #1)",3.79,360044
250,124,R.J. Palacio,2012.0,Wonder,4.43,228538
252,92,Marissa Meyer,2012.0,"Cinder (The Lunar Chronicles, #1)",4.15,427663
259,107,James Dashner,2010.0,"The Scorch Trials (Maze Runner, #2)",3.93,305643
263,61,Gail Carson Levine,1997.0,Ella Enchanted,3.97,339117
275,116,John Green,2006.0,An Abundance of Katherines,3.63,312754
280,108,Lauren Oliver,2011.0,"Delirium (Delirium, #1)",3.99,256975
282,153,Neil Gaiman,2002.0,Coraline,4.03,316379
292,299,"C.S. Lewis, Pauline Baynes",1951.0,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08,306492
294,69,Rick Riordan,2011.0,"The Son of Neptune (The Heroes of Olympus, #2)",4.44,299980
300,178,John Boyne,2006.0,The Boy in the Striped Pajamas,4.1,285692
309,96,Cassandra Clare,2011.0,"City of Fallen Angels (The Mortal Instruments, #4)",4.16,341826
312,129,"Neil Gaiman, Dave McKean",2008.0,The Graveyard Book,4.12,302303
314,134,"Cornelia Funke, Anthea Bell",2003.0,"Inkheart (Inkworld, #1)",3.86,285011
319,101,Cassandra Clare,2012.0,"City of Lost Souls (The Mortal Instruments, #5)",4.3,300553
321,69,Wilson Rawls,1961.0,Where the Red Fern Grows,4.04,268548
324,80,Rainbow Rowell,2013.0,Fangirl,4.12,340379
327,91,Marie Lu,2011.0,"Legend (Legend, #1)",4.19,299998
332,312,C.S. Lewis,1953.0,"The Magician's Nephew (Chronicles of Narnia, #6)",4.01,268355
340,38,Pittacus Lore,2010.0,"I Am Number Four (Lorien Legacies, #1)",3.94,253437
347,348,C.S. Lewis,1951.0,"Prince Caspian (Chronicles of Narnia, #2)",3.96,250221
348,77,E. Lockhart,2014.0,We Were Liars,3.85,273442
351,99,Cassandra Clare,2011.0,"Clockwork Prince (The Infernal Devices, #2)",4.46,307994
355,87,Kristin Cashore,2008.0,"Graceling (Graceling Realm, #1)",4.1,281185
363,79,Stephanie Perkins,2010.0,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.08,259479
368,55,Philip Pullman,1997.0,"The Subtle Knife (His Dark Materials, #2)",4.1,242503
369,85,Jerry Spinelli,2000.0,"Stargirl (Stargirl, #1)",3.74,237560
